# The identifiers in the ID_REF column must match the identifiers in the ID column of the referenced platform (GPLxxxx).,,,,,,,,,,,,,,,,,,,,,,,,
# The Matrix table should include non-normalized signal count data and detection p-value,,,,,,,,,,,,,,,,,,,,,,,,
"# Values that should be disregarded may either be left blank or labeled as ""null"".",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ID_REF,HAN_22_A_1_WT,Detection Pval,HAN_22_B_2_WT,Detection Pval,HAN_23_A_1_TG,Detection Pval,HAN_23_A_2_TG,Detection Pval,HAN_28_A_1_WT,Detection Pval,HAN_28_B_1_WT,Detection Pval,HAN_30_A_1_TG,Detection Pval,HAN_30_B_2_TG,Detection Pval,HAN_32_A_1_WT,Detection Pval,HAN_32_B_1_WT,Detection Pval,HAN_33_A_1_TG,Detection Pval,HAN_33_B_2_TG,Detection Pval
ILMN_1212607,132.5,0.05138,76.1,0.41353,122.1,0.00627,84.4,0.37218,116.4,0.04762,85.7,0.29699,121.2,0.06642,85.2,0.26316,112.3,0.14662,94.7,0.06767,107.1,0.17419,72.8,0.46867
ILMN_1212612,254.9,0,117.8,0,110.9,0.03634,100.7,0.01003,148.3,0,114.2,0.00251,112.9,0.12155,83.7,0.34461,154.6,0,127.9,0.00125,113.9,0.09774,85.8,0.04135
ILMN_1212619,118.3,0.20802,85.2,0.05138,94.7,0.56642,80.7,0.59023,120.8,0.0213,104.3,0.00877,95.6,0.63534,84.9,0.27569,99.1,0.61153,97,0.03885,97.4,0.4812,69.2,0.71303
ILMN_1212628,118,0.21805,78.5,0.27318,95.3,0.52506,97.3,0.02757,101.3,0.39098,72.4,0.92857,94.6,0.6792,80.7,0.53133,91.3,0.88095,84.4,0.40476,92.4,0.71805,73.9,0.38346
ILMN_1212632,121.3,0.15288,77.6,0.31078,122.2,0.00627,98.1,0.0188,133.4,0.00501,122,0.00125,141.1,0.00752,105.8,0.01003,110.6,0.17293,93.8,0.07393,111.7,0.11654,89.7,0.0188
ILMN_1212636,1239.2,0,488.4,0,1490.3,0,840.6,0,1176.7,0,786.3,0,2081.8,0,665.5,0,979.2,0,692.2,0,1642.6,0,474.2,0
ILMN_1212637,1353.9,0,303.6,0,1034.3,0,459.5,0,1057.7,0,502.9,0,1229.3,0,227.6,0,821.3,0,435.4,0,1055.6,0,200.7,0
ILMN_1212645,104.7,0.71805,75.8,0.42231,87.8,0.8609,71.3,0.95614,152,0,126.1,0,86.8,0.9386,67.2,0.97744,102,0.45489,86.7,0.30075,86.5,0.90977,67.2,0.81579
ILMN_1212648,422.6,0,197.8,0,283.1,0,306.4,0,367.8,0,286.2,0,429.3,0,244,0,360.2,0,295.2,0,480.3,0,227.8,0
ILMN_1212653,828.9,0,218.3,0,357.5,0,325,0,409.2,0,238.5,0,507.1,0,231.8,0,440.4,0,272.5,0,654.6,0,204.3,0
ILMN_1212672,381.9,0,136.6,0,221.4,0,179.8,0,330.5,0,193.8,0,332.7,0,152.6,0,305.8,0,227,0,341.1,0,136.4,0
ILMN_1212682,102.3,0.80201,65.8,0.93734,88.6,0.83835,71.3,0.95614,96.2,0.64411,70.9,0.95113,94.7,0.67669,72.8,0.88471,104,0.37343,81.5,0.57644,97.4,0.48371,61,0.97118
ILMN_1212683,146.1,0.01128,81.2,0.15288,89,0.82331,68.9,0.9812,118.6,0.03885,83.9,0.39348,89.4,0.87469,79.6,0.59524,123.7,0.02381,90.1,0.15163,92.8,0.70301,70.8,0.61654
ILMN_1212685,104.8,0.71805,79.5,0.22306,92.4,0.68421,79.6,0.65038,102.7,0.32832,78.4,0.71053,101.4,0.39474,76.7,0.73935,103,0.40977,82.4,0.52632,91.4,0.76441,67.7,0.79699
ILMN_1212692,512,0,262.7,0,1133.3,0,804.7,0,450.1,0,284.3,0,1232.9,0,621.6,0,346.9,0,350.3,0,952.4,0,477.8,0
ILMN_1212693,447.7,0,256.7,0,512.7,0,226.9,0,287.9,0,272.8,0,442.4,0,222.1,0,337.5,0,332,0,380.2,0,208.6,0
ILMN_1212695,115.3,0.29323,74.7,0.49624,113.3,0.02381,83.5,0.43484,116.7,0.04762,79.1,0.67544,104.3,0.29449,79.8,0.58271,108.6,0.21303,81.2,0.60276,115.3,0.08897,74.9,0.31454
ILMN_1212698,98.5,0.88221,80.6,0.17544,101.2,0.22932,89.5,0.13158,99,0.48997,75.8,0.82707,90.5,0.83709,71.2,0.92481,92.6,0.85213,77.7,0.79699,92.1,0.72932,65.7,0.88722
ILMN_1212702,5973.5,0,8388,0,11970.1,0,6716.2,0,5982,0,4698.8,0,8312,0,2971.6,0,5765.3,0,4313.9,0,7210.2,0,3677.9,0
ILMN_1212703,325.2,0,127,0,173.9,0,123.7,0,228.6,0,139.6,0,212.6,0,117.7,0.00376,226.4,0,148.7,0,219.3,0,122.3,0.00125
ILMN_1212716,109,0.54887,79.4,0.22682,101.8,0.21303,76.8,0.82957,111.6,0.08897,84.8,0.35464,96.7,0.58396,80.6,0.53885,96.8,0.70927,76.9,0.82707,95.8,0.55639,70.2,0.65038
ILMN_1212717,210.6,0,118.1,0,216.9,0,143.7,0,175.1,0,138.5,0,255.5,0,178.9,0,166.2,0,113.3,0.00125,214.3,0,160.2,0
